code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
600062,华润双鹤,C27医药制造业,0.020090875346927536,0.5,12.3,10.42,1.4,0.04729940283827483,0.032545934067561344,-0.6119251230587405,1.7318412153188427,20260331
301606,绿联科技,C39计算机、通信和其他电子设备制造业,0.009562711220252595,2.2,20.0,27.48,6.01,0.14875104514255333,0.02825472473595414,-0.14072879490424822,4.726218218321784,20260331
001221,悍高集团,C33金属制品业,0.006055402612882996,8.9,8.9,22.47,5.47,0.2998562557508906,-0.0032169756014159834,-0.2602044255427092,1.3714859150875416,20260331
300896,爱美客,C35专用设备制造业,0.005655462270200383,16.4,4.0,27.72,4.03,0.588341550670863,-0.2636732161474963,0.14197250803715317,1.141153303861719,20260331
600011,华能国际,D44电力、热力生产和供应业,0.004492926442121729,42.4,7.7,8.13,1.62,0.06230185489457751,-0.002685798128169381,-0.7142449752037856,1.2551044173615256,20260331
002410,广联达,I65软件和信息技术服务业,0.002929518297209721,6.6,4.5,39.17,2.64,-0.35742492362441236,0.2407515603766145,-0.7958522671202052,27.48068574096242,20260331
688772,珠海冠宇,C38电气机械和器材制造业,0.0017574962814044248,32.7,11.9,40.86,2.33,-2.259496067586589,-0.3216852535019763,-0.061446505083374216,15.983859694985169,20260331
000538,云南白药,C27医药制造业,-0.0016875259063878212,4.8,7.2,17.55,2.19,0.00512021650102823,-0.02310367557282711,-0.15744977730045678,8.497970159503247,20260331
600486,扬农化工,C26化学原料和化学制品制造业,-0.0020602557208401207,37.3,2.9,17.82,1.89,0.15257258911868732,-0.12967947389846435,0.170214218761701,6.808522138012259,20260331
601877,正泰电器,C38电气机械和器材制造业,-0.0038357581168727006,28.8,34.7,12.08,1.22,-0.14306277897719266,-0.26304460148530806,-0.18030143901834406,3.75241131148738,20260331
002032,苏泊尔,C38电气机械和器材制造业,-0.008131373475104509,5.4,5.1,16.63,4.96,0.0779100695348578,0.013060922257666752,-0.04060799100603437,18.663187504138545,20260331
300450,先导智能,C35专用设备制造业,-0.008336384722679752,41.1,33.0,35.83,3.22,0.02932184509730784,-0.08674863026226687,0.10085706053738958,26.66894704818795,20260331
600871,石化油服,B11开采专业及辅助性活动,-0.010384266071017112,44.4,39.5,65.81,4.42,0.06825456835645294,-0.09652744332392404,-0.16993100723021148,3.058211181585807,20260331
002430,杭氧股份,C35专用设备制造业,-0.013946804276970148,35.4,14.6,23.45,2.3,0.006258724847026276,-0.016970191347705388,-0.07688720353560431,18.517137259505475,20260331
603596,伯特利,C36汽车制造业,-0.01850331816211573,2.4,2.4,18.32,2.97,0.032207712290769575,-0.01125915474143624,-0.039590613647736216,31.711647162946335,20260331
002444,巨星科技,C33金属制品业,-0.023831738546647357,9.9,23.4,13.69,1.84,0.018772785342595855,0.002267937135780329,-0.05336989782474331,73.65885070278806,20260331
